x_coordinate,y_coordinate,month,week,day_of_week,Predicted_CATEGORY
7644854,677548,2,6,Thursday,OTHER
7644222,701515,5,18,Saturday,OTHER
7678176,696022,3,9,Thursday,STREET CRIMES
7648230,678501,3,9,Thursday,OTHER
7669535,676295,1,4,Thursday,OTHER
7668568,668500,3,12,Friday,OTHER
7644147,674796,3,12,Saturday,OTHER
7639223,664482,2,8,Friday,OTHER
7659627,676806,4,14,Tuesday,OTHER
7644436,685008,2,8,Friday,OTHER
7642951,683061,5,20,Sunday,OTHER
7671642,670888,5,21,Wednesday,OTHER
7643394,683214,5,22,Monday,OTHER
7682657,696369,5,20,Thursday,OTHER
7642305,677833,3,13,Thursday,OTHER
7643937,681877,4,14,Friday,OTHER
7681113,670612,3,12,Saturday,STREET CRIMES
7679478,682001,3,13,Monday,OTHER
7655646,680596,4,17,Tuesday,OTHER
7644396,682087,3,9,Saturday,OTHER
7637883,697161,2,7,Sunday,STREET CRIMES
7649724,672223,2,5,Wednesday,OTHER
7643555,704158,5,20,Tuesday,OTHER
7640716,674968,3,11,Friday,OTHER
7690024,681395,2,7,Saturday,OTHER
7679354,675435,1,2,Tuesday,OTHER
7639214,684385,1,4,Friday,OTHER
7679701,684067,3,12,Friday,OTHER
7656626,680788,5,20,Thursday,OTHER
7666108,668843,5,18,Thursday,OTHER
7642170,679428,4,14,Saturday,OTHER
7678958,705183,4,16,Tuesday,OTHER
7679978,692813,3,11,Tuesday,OTHER
7669127,668972,3,13,Thursday,OTHER
7643939,697011,5,21,Monday,OTHER
7686914,679120,4,17,Tuesday,OTHER
7679580,674001,1,1,Wednesday,OTHER
7667941,675745,5,21,Tuesday,OTHER
7625629,708548,1,3,Sunday,OTHER
7651507,662251,4,17,Saturday,OTHER
7659596,688630,3,12,Tuesday,OTHER
7680300,676177,4,16,Tuesday,OTHER
7628760,674137,4,15,Monday,OTHER
7645224,686433,5,18,Friday,OTHER
7659001,697081,4,13,Sunday,OTHER
7626879,713677,3,13,Thursday,OTHER
7649981,665882,4,16,Tuesday,OTHER
7640563,681006,5,21,Sunday,OTHER
7648519,693482,2,9,Monday,OTHER
7642798,678864,5,20,Friday,OTHER
7659487,688290,3,13,Friday,OTHER
7680450,676049,2,6,Thursday,OTHER
7632673,679021,5,20,Friday,OTHER
7649558,688544,4,13,Sunday,OTHER
7683148,673807,1,1,Saturday,OTHER
7690215,691687,4,15,Monday,OTHER
7674309,673505,2,7,Monday,OTHER
7648583,698665,3,10,Sunday,OTHER
7619622,706725,5,21,Saturday,OTHER
7650579,687362,5,18,Monday,OTHER
7660784,674551,1,2,Friday,OTHER
7638924,665709,4,17,Wednesday,OTHER
7660644,663641,4,17,Sunday,OTHER
7642747,682458,3,12,Thursday,OTHER
7647437,708820,5,21,Thursday,OTHER
7693328,676902,3,13,Thursday,OTHER
7648057,676334,5,18,Monday,OTHER
7658869,693127,3,12,Friday,OTHER
7650130,687548,4,17,Friday,OTHER
7625095,709328,4,14,Monday,OTHER
7643413,698569,2,8,Friday,OTHER
7671684,673446,2,7,Sunday,OTHER
7653675,685828,5,19,Saturday,OTHER
7645804,684957,2,8,Sunday,OTHER
7648994,707183,1,2,Monday,OTHER
7629174,656431,4,16,Monday,OTHER
7648686,699215,5,21,Sunday,OTHER
7643659,717356,5,21,Tuesday,OTHER
7647248,686269,1,2,Thursday,OTHER
7645071,693325,1,4,Tuesday,OTHER
7638511,663691,4,15,Tuesday,OTHER
7648100,699173,1,1,Thursday,OTHER
7673864,696846,1,3,Thursday,OTHER
7673838,696607,4,15,Monday,OTHER
7689966,682454,1,4,Sunday,OTHER
7671227,674241,3,9,Thursday,STREET CRIMES
7682466,686843,2,8,Saturday,OTHER
7661071,664345,5,18,Friday,OTHER
7692088,671989,5,18,Tuesday,OTHER
7673608,699845,1,4,Friday,OTHER
7690230,685130,5,19,Wednesday,OTHER
7678065,668480,5,19,Thursday,OTHER
7673590,672116,4,13,Sunday,OTHER
7639878,682643,4,16,Sunday,OTHER
7650626,679658,5,20,Saturday,OTHER
7636957,662312,3,11,Friday,OTHER
7642171,683999,3,11,Monday,OTHER
7644956,685008,5,18,Friday,OTHER
7673625,674198,4,13,Saturday,OTHER
7644285,706585,1,3,Friday,OTHER
7658756,680020,5,18,Saturday,OTHER
7668697,663377,1,4,Tuesday,OTHER
7643557,716576,4,16,Saturday,OTHER
7660364,685051,3,12,Wednesday,OTHER
7654921,685087,5,20,Sunday,OTHER
7658620,687827,1,4,Tuesday,OTHER
7689949,684247,4,16,Sunday,STREET CRIMES
7640528,698945,1,2,Tuesday,OTHER
7642527,680986,2,8,Saturday,OTHER
7648595,705610,1,3,Saturday,OTHER
7648336,685911,1,3,Saturday,OTHER
7645652,683663,5,18,Monday,OTHER
7676971,691952,4,17,Wednesday,OTHER
7669632,696674,5,19,Sunday,OTHER
7642599,679364,5,18,Saturday,OTHER
7644931,683511,4,13,Sunday,OTHER
7648420,682695,2,5,Sunday,OTHER
7644390,681485,4,15,Friday,OTHER
7655594,674395,3,9,Sunday,OTHER
7642396,688580,1,2,Thursday,OTHER
7640749,681016,2,8,Wednesday,OTHER
7677594,683688,4,15,Thursday,OTHER
7688342,674159,5,20,Tuesday,OTHER
7643288,686573,4,15,Friday,OTHER
7651426,681715,3,10,Tuesday,OTHER
7669196,685980,1,2,Tuesday,OTHER
7644055,702125,5,18,Sunday,OTHER
7651763,683683,5,21,Thursday,OTHER
7639668,684668,1,1,Tuesday,OTHER
7682132,674397,4,17,Saturday,OTHER
7676453,696460,3,11,Friday,OTHER
7677326,691180,3,11,Monday,OTHER
7681684,685615,5,18,Tuesday,OTHER
7648816,705354,5,21,Saturday,OTHER
7659304,695334,3,12,Saturday,OTHER
7679811,684683,2,7,Saturday,OTHER
7670083,690009,5,20,Sunday,OTHER
7679158,686284,3,12,Saturday,OTHER
7686396,697205,1,4,Wednesday,OTHER
7687116,690391,2,6,Sunday,OTHER
7655171,684660,4,16,Wednesday,OTHER
7666640,667548,3,11,Friday,OTHER
7671884,674319,4,17,Sunday,OTHER
7674261,668565,2,8,Thursday,OTHER
7641885,681190,5,20,Tuesday,OTHER
7669262,682218,1,2,Wednesday,OTHER
7642174,683381,3,12,Monday,OTHER
7680146,688125,4,15,Monday,OTHER
7643804,683114,3,12,Friday,OTHER
7627944,712245,5,18,Thursday,OTHER
7661374,674528,4,14,Sunday,OTHER
7669127,668972,4,17,Friday,OTHER
7669010,668262,2,5,Wednesday,OTHER
7669180,674315,5,20,Friday,OTHER
7652854,696660,4,16,Sunday,OTHER
7645396,684827,1,3,Tuesday,STREET CRIMES
7627073,710462,1,1,Thursday,STREET CRIMES
7643852,686359,4,14,Sunday,OTHER
7611904,708883,1,3,Friday,OTHER
7649099,672786,5,19,Wednesday,OTHER
7674927,686712,5,18,Friday,OTHER
7643759,682869,3,9,Thursday,OTHER
7680677,676590,2,8,Tuesday,OTHER
7679432,676125,3,9,Sunday,OTHER
7675133,683159,2,8,Monday,OTHER
7642660,718985,1,4,Friday,OTHER
7678203,684709,1,2,Tuesday,OTHER
7657604,672610,4,17,Wednesday,OTHER
7648698,679324,2,7,Thursday,OTHER
7643655,682985,5,20,Wednesday,OTHER
7679587,671194,2,9,Tuesday,OTHER
7643424,686911,3,11,Saturday,OTHER
7691903,676357,3,9,Sunday,OTHER
7663746,685135,5,22,Tuesday,OTHER
7675588,671922,2,6,Saturday,OTHER
7642254,660388,5,19,Saturday,OTHER
7643637,701410,4,16,Thursday,OTHER
7634052,709722,2,5,Saturday,STREET CRIMES
7660398,669884,2,7,Saturday,STREET CRIMES
7648486,698835,3,13,Friday,OTHER
7631314,657657,3,13,Monday,OTHER
7679624,683572,1,2,Tuesday,OTHER
7642607,680813,4,16,Friday,OTHER
7644018,682763,3,12,Wednesday,OTHER
7643497,685404,1,2,Tuesday,OTHER
7637022,675184,4,16,Tuesday,OTHER
7636335,708595,1,3,Saturday,OTHER
7674780,687331,5,21,Thursday,OTHER
7664041,695349,1,2,Saturday,OTHER
7645781,683445,5,18,Sunday,OTHER
7657683,699024,4,14,Thursday,OTHER
7635478,654436,5,18,Wednesday,OTHER
7638959,663504,3,11,Wednesday,OTHER
7666321,665495,2,8,Monday,OTHER
7669872,693709,1,2,Friday,OTHER
7644444,683842,4,15,Friday,OTHER
7652319,662148,5,18,Monday,OTHER
7663442,694649,2,7,Monday,OTHER
7648915,705604,1,1,Friday,OTHER
7660743,676599,4,17,Monday,OTHER
7678568,702903,5,20,Sunday,OTHER
7673513,695993,3,10,Saturday,OTHER
7647352,681974,1,4,Monday,OTHER
7683195,672971,5,20,Tuesday,OTHER
7682412,666608,2,5,Thursday,OTHER
7642857,680284,2,8,Thursday,OTHER
7672328,668866,5,19,Sunday,OTHER
7627398,712046,3,10,Friday,OTHER
7645396,684306,4,17,Tuesday,OTHER
7674309,673505,3,11,Thursday,OTHER
7654576,697161,2,5,Friday,OTHER
7674688,684683,1,2,Tuesday,STREET CRIMES
7662303,678513,3,9,Wednesday,OTHER
7645574,684396,4,14,Sunday,OTHER
7638276,663492,4,16,Tuesday,OTHER
7644890,677154,5,19,Monday,OTHER
7644083,683157,1,4,Wednesday,OTHER
7637355,688815,5,20,Monday,OTHER
7657994,688647,2,8,Tuesday,OTHER
7672487,676776,1,4,Tuesday,OTHER
7683931,681818,1,52,Sunday,STREET CRIMES
7675315,687231,5,20,Friday,OTHER
7649023,691222,4,14,Sunday,OTHER
7645315,694346,1,2,Thursday,OTHER
7687116,690391,1,2,Tuesday,OTHER
7674381,696228,3,13,Wednesday,OTHER
7640872,684324,5,19,Tuesday,OTHER
7668752,683403,1,2,Thursday,OTHER
7676981,676458,5,22,Wednesday,OTHER
7690550,665559,2,7,Tuesday,OTHER
7643449,694934,4,14,Monday,OTHER
7681110,675768,4,16,Saturday,STREET CRIMES
7650212,688658,3,12,Friday,OTHER
7647513,687127,5,21,Thursday,OTHER
7643687,683386,4,15,Thursday,OTHER
7675092,696653,2,5,Wednesday,OTHER
7670476,686140,3,9,Sunday,OTHER
7642747,682458,3,11,Wednesday,OTHER
7654494,679943,5,21,Wednesday,OTHER
7667653,683995,3,12,Saturday,OTHER
7645730,688824,3,12,Friday,OTHER
7674806,668131,1,5,Tuesday,OTHER
7642204,697037,2,8,Tuesday,OTHER
7652200,697316,2,7,Friday,STREET CRIMES
7682914,684526,4,14,Sunday,OTHER
7641650,681249,3,13,Wednesday,OTHER
7674927,686712,1,4,Friday,STREET CRIMES
7669898,687918,3,13,Tuesday,OTHER
7649672,683852,4,16,Saturday,OTHER
7646757,686709,4,15,Tuesday,OTHER
7642638,718731,5,20,Wednesday,OTHER
7642747,682458,5,20,Tuesday,OTHER
7650772,677491,3,12,Wednesday,OTHER
7669090,672602,1,3,Tuesday,OTHER
7659807,681063,4,14,Thursday,OTHER
7665500,698101,4,15,Sunday,STREET CRIMES
7639953,705842,4,16,Friday,OTHER
7687156,691230,5,19,Sunday,OTHER
7640816,684832,5,21,Tuesday,OTHER
7647026,694581,2,6,Tuesday,OTHER
7641259,687351,3,10,Monday,OTHER
7646994,692214,4,17,Monday,OTHER
7673401,703248,3,10,Saturday,OTHER
7654280,688456,5,21,Monday,OTHER
7674570,702090,5,18,Friday,OTHER
7652362,686640,1,2,Friday,OTHER
7644807,696629,2,6,Sunday,OTHER
7657538,681104,5,18,Thursday,OTHER
7639054,668363,3,12,Wednesday,OTHER
7692358,678816,4,15,Thursday,OTHER
7693494,671581,1,2,Thursday,OTHER
7693454,671739,1,4,Monday,OTHER
7685726,690590,1,2,Wednesday,OTHER
7644386,686468,4,15,Monday,OTHER
7653929,677013,1,1,Monday,OTHER
7645188,681999,5,18,Friday,STREET CRIMES
7655597,681858,5,18,Tuesday,OTHER
7693023,673082,3,9,Wednesday,OTHER
7645054,669348,1,3,Wednesday,OTHER
7626695,708917,4,17,Wednesday,OTHER
7672693,672729,1,3,Friday,OTHER
7652218,677364,3,9,Sunday,OTHER
7643768,715878,1,3,Wednesday,OTHER
7631899,708381,3,10,Tuesday,OTHER
7670151,669237,1,2,Thursday,OTHER
7644215,683243,4,15,Tuesday,OTHER
7644481,687089,2,7,Wednesday,OTHER
7680382,676309,5,18,Saturday,OTHER
7643104,659742,4,17,Saturday,OTHER
7688032,679216,1,1,Tuesday,OTHER
7675268,697518,1,4,Tuesday,OTHER
7677214,674684,1,3,Friday,STREET CRIMES
7669332,674627,1,4,Thursday,OTHER
7680400,671274,2,6,Wednesday,OTHER
7679701,684067,1,1,Friday,OTHER
7671732,695361,2,5,Thursday,OTHER
7657539,679868,2,6,Wednesday,OTHER
7676681,686986,3,12,Saturday,OTHER
7649871,684446,5,19,Sunday,OTHER
7664514,677517,4,14,Saturday,OTHER
7667163,664714,5,19,Wednesday,OTHER
7668391,692681,5,19,Tuesday,OTHER
7680282,684930,2,9,Tuesday,OTHER
7673208,678084,5,21,Saturday,OTHER
7644103,691205,2,8,Wednesday,OTHER
7642637,685350,4,17,Saturday,OTHER
7679158,677788,5,18,Monday,OTHER
7654626,676913,1,1,Friday,OTHER
7647911,680348,3,12,Tuesday,OTHER
7650375,672523,3,10,Tuesday,OTHER
7678506,681959,1,2,Thursday,OTHER
7655611,674427,5,21,Tuesday,OTHER
7643465,701158,2,6,Wednesday,OTHER
7635305,688659,4,16,Monday,OTHER
7629995,707715,1,2,Friday,OTHER
7644221,701398,3,12,Thursday,OTHER
7649327,702555,1,2,Tuesday,STREET CRIMES
7683944,698812,4,15,Monday,OTHER
7627199,711504,4,14,Saturday,STREET CRIMES
7646619,680099,4,17,Tuesday,OTHER
7675259,696931,4,15,Saturday,OTHER
7679742,684966,4,14,Friday,OTHER
7672308,682654,3,9,Wednesday,OTHER
7660260,700619,4,15,Friday,OTHER
7642111,701561,2,5,Thursday,OTHER
7689580,665671,4,15,Sunday,OTHER
7673484,696619,4,15,Friday,OTHER
7651448,662335,4,15,Friday,OTHER
7682070,681739,1,1,Saturday,OTHER
7642896,685090,5,20,Friday,OTHER
7631066,707333,5,19,Wednesday,OTHER
7668022,674181,5,20,Thursday,OTHER
7653311,666288,5,20,Thursday,OTHER
7671262,687408,1,1,Tuesday,OTHER
7655201,683647,1,1,Monday,OTHER
7639474,704257,1,1,Tuesday,OTHER
7665849,698110,4,16,Monday,OTHER
7674397,681781,4,14,Friday,OTHER
7679979,685929,4,15,Monday,OTHER
7682376,676442,4,17,Tuesday,OTHER
7671351,663785,4,14,Saturday,OTHER
7684010,671247,3,10,Sunday,OTHER
7685603,673434,2,7,Tuesday,OTHER
7640656,684270,3,11,Sunday,OTHER
7653812,675094,3,12,Thursday,OTHER
7644852,674953,5,20,Tuesday,OTHER
7680282,684930,4,15,Friday,OTHER
7649342,701334,1,4,Friday,STREET CRIMES
7664011,665218,2,8,Thursday,OTHER
7640800,685232,2,8,Tuesday,OTHER
7668379,694387,5,20,Saturday,OTHER
7670200,676891,1,1,Tuesday,OTHER
7667329,667776,4,16,Wednesday,OTHER
7672611,676767,1,3,Tuesday,OTHER
7689843,692838,2,6,Saturday,STREET CRIMES
7652593,685077,4,15,Monday,OTHER
7671496,668304,4,15,Sunday,OTHER
7645191,686161,5,19,Thursday,OTHER
7643931,710471,4,14,Saturday,OTHER
7648630,705306,5,20,Monday,OTHER
7628627,710804,3,10,Friday,OTHER
7669490,669228,4,15,Monday,OTHER
7623481,689182,5,20,Wednesday,OTHER
7664995,691946,1,2,Saturday,OTHER
7644489,686808,1,1,Saturday,OTHER
7644083,683157,1,4,Wednesday,OTHER
7643292,679074,5,19,Saturday,OTHER
7650044,687566,4,17,Wednesday,OTHER
7686187,677292,3,11,Monday,OTHER
7647141,688685,3,10,Friday,OTHER
7642912,687239,4,17,Saturday,OTHER
7644726,668997,4,15,Sunday,OTHER
7655306,698555,2,7,Tuesday,OTHER
7689575,672994,1,3,Thursday,OTHER
7673668,686316,2,8,Tuesday,OTHER
7637305,689371,4,16,Saturday,OTHER
7645070,716838,2,6,Monday,OTHER
7684181,682992,5,18,Monday,OTHER
7632815,659587,1,5,Tuesday,OTHER
7657954,676760,2,5,Wednesday,OTHER
7642428,671452,3,12,Friday,OTHER
7637457,707421,3,10,Wednesday,OTHER
7644200,675812,4,15,Tuesday,OTHER
7644487,685933,1,5,Tuesday,OTHER
7688909,683707,5,20,Sunday,OTHER
7681243,694770,2,5,Wednesday,OTHER
7669605,687661,5,22,Wednesday,OTHER
7642599,679364,2,7,Wednesday,OTHER
7648187,686818,3,11,Wednesday,OTHER
7659182,690405,5,21,Sunday,OTHER
7648402,693395,4,15,Sunday,OTHER
7644011,685144,4,15,Tuesday,OTHER
7686739,683160,4,15,Wednesday,OTHER
7650579,687362,3,9,Friday,STREET CRIMES
7660949,676890,4,16,Friday,OTHER
7626697,653147,5,20,Sunday,STREET CRIMES
7672399,671502,4,14,Tuesday,OTHER
7651641,680058,4,17,Monday,OTHER
7635816,684653,4,16,Thursday,OTHER
7657672,689321,3,10,Friday,OTHER
7642970,683475,2,6,Thursday,OTHER
7670640,666286,5,18,Sunday,OTHER
7667847,662839,5,19,Saturday,OTHER
7674972,696973,3,13,Monday,OTHER
7647070,692100,5,21,Wednesday,OTHER
7641452,681765,3,12,Wednesday,OTHER
7693651,681129,4,14,Monday,OTHER
7679932,682043,3,13,Wednesday,OTHER
7669290,673421,1,1,Friday,OTHER
7653481,697500,5,21,Friday,OTHER
7659357,668168,1,3,Thursday,OTHER
7683679,672246,2,6,Thursday,OTHER
7643993,680523,3,11,Wednesday,OTHER
7668367,670051,5,19,Monday,OTHER
7692473,671650,2,5,Thursday,OTHER
7650358,675957,5,21,Tuesday,OTHER
7654366,681623,4,13,Sunday,OTHER
7657986,674434,4,16,Monday,OTHER
7661567,684000,2,6,Friday,OTHER
7650763,701104,5,21,Thursday,OTHER
7664739,691656,1,2,Tuesday,OTHER
7672733,670090,3,12,Wednesday,OTHER
7634382,709451,2,6,Friday,OTHER
7644262,683593,1,5,Monday,OTHER
7647555,709878,5,22,Tuesday,OTHER
7679799,679183,1,2,Saturday,OTHER
7668848,683322,3,11,Friday,OTHER
7659058,689538,3,13,Friday,OTHER
7653265,688343,3,11,Monday,OTHER
7648459,683945,4,14,Tuesday,OTHER
7669180,674315,4,14,Saturday,STREET CRIMES
7670064,694191,4,16,Saturday,OTHER
7638737,686134,5,18,Monday,STREET CRIMES
7624094,709457,3,9,Saturday,OTHER
7682913,686543,4,16,Wednesday,OTHER
7644603,691042,1,3,Sunday,OTHER
7689070,682943,5,22,Wednesday,STREET CRIMES
7642746,682974,4,17,Sunday,OTHER
7644358,685609,5,18,Thursday,OTHER
7644284,686073,4,15,Saturday,OTHER
7669093,663758,4,14,Monday,OTHER
7690177,680923,1,4,Monday,STREET CRIMES
7649280,679700,5,18,Monday,OTHER
7680730,674162,4,16,Tuesday,OTHER
7642823,682409,3,12,Thursday,STREET CRIMES
7679356,673601,1,4,Sunday,OTHER
7645574,684396,1,2,Friday,OTHER
7668898,696831,3,12,Friday,OTHER
7690664,676798,4,16,Saturday,OTHER
7641707,682590,3,12,Thursday,OTHER
7679840,681909,5,21,Tuesday,OTHER
7632687,657703,1,2,Thursday,OTHER
7644011,685144,4,14,Thursday,OTHER
7648291,681294,4,14,Wednesday,OTHER
7665998,661328,5,19,Saturday,OTHER
7648632,683884,5,21,Sunday,STREET CRIMES
7646712,698705,5,21,Tuesday,OTHER
7669399,687619,1,2,Tuesday,OTHER
7669243,669586,3,11,Monday,OTHER
7668995,667943,3,11,Monday,OTHER
7686878,681690,5,21,Monday,OTHER
7643277,683262,2,7,Thursday,OTHER
7652482,689891,3,10,Friday,OTHER
7637471,668402,1,4,Thursday,OTHER
7640656,684270,2,8,Sunday,OTHER
7625908,708863,3,12,Friday,OTHER
7641277,689046,5,18,Tuesday,OTHER
7640539,680752,1,1,Wednesday,OTHER
7636041,669044,4,14,Monday,OTHER
7643852,686359,3,13,Thursday,OTHER
7651790,688390,4,14,Thursday,OTHER
7644678,682404,5,21,Saturday,OTHER
7679094,681458,1,3,Sunday,OTHER
7640311,706982,4,16,Thursday,OTHER
7642348,678371,4,14,Saturday,OTHER
7641269,684264,3,12,Saturday,OTHER
7645174,716612,5,22,Monday,OTHER
7680902,686687,5,18,Saturday,OTHER
7643286,680252,2,8,Thursday,OTHER
7633212,659332,4,15,Saturday,OTHER
7667084,692526,5,19,Thursday,OTHER
7655176,683742,2,7,Sunday,OTHER
7665860,665196,3,12,Wednesday,OTHER
7660678,674666,1,2,Wednesday,OTHER
7669961,667622,5,21,Thursday,OTHER
7668959,669697,2,5,Thursday,OTHER
7668946,682308,1,5,Monday,OTHER
7690432,681693,2,8,Wednesday,OTHER
7661951,680125,3,9,Wednesday,OTHER
7686560,677734,1,2,Tuesday,OTHER
7650568,665772,2,8,Monday,OTHER
7636041,669044,3,10,Thursday,OTHER
7666627,667198,4,15,Sunday,OTHER
7656432,673233,4,17,Saturday,OTHER
7657996,679647,3,10,Friday,OTHER
7658097,688769,1,4,Friday,OTHER
7663044,680183,2,8,Wednesday,OTHER
7626231,709104,1,1,Saturday,OTHER
7674738,680513,4,16,Wednesday,OTHER
7690591,682740,3,10,Thursday,OTHER
7679968,681462,1,2,Saturday,OTHER
7654008,681059,4,14,Wednesday,OTHER
7673800,666830,5,19,Saturday,OTHER
7648999,676427,5,19,Thursday,OTHER
7653580,690989,5,20,Tuesday,OTHER
7654148,674714,2,7,Tuesday,OTHER
7675546,686692,1,4,Thursday,OTHER
7682131,672938,5,19,Wednesday,OTHER
7686181,694571,3,12,Tuesday,OTHER
7674268,696627,2,8,Sunday,OTHER
7669898,694780,1,3,Tuesday,STREET CRIMES
7653138,700085,3,12,Sunday,OTHER
7659487,688290,2,7,Thursday,OTHER
7642304,704173,2,7,Wednesday,OTHER
7649847,662036,4,15,Thursday,OTHER
7681019,666912,3,11,Friday,OTHER
7652303,684810,4,16,Friday,OTHER
7676300,701045,3,11,Sunday,OTHER
7645248,718242,3,12,Sunday,OTHER
7644011,685144,5,19,Wednesday,OTHER
7652295,686640,2,6,Wednesday,OTHER
7656111,681504,3,9,Saturday,OTHER
7671805,671416,1,5,Tuesday,OTHER
7680011,687212,1,4,Wednesday,OTHER
7668958,675209,5,22,Monday,OTHER
7638741,689514,1,1,Wednesday,OTHER
7648094,683641,2,6,Wednesday,OTHER
7649995,677516,4,16,Monday,OTHER
7666526,663692,4,15,Wednesday,OTHER
7650078,688527,5,22,Monday,OTHER
7692190,676351,3,12,Monday,OTHER
7649035,688300,2,8,Wednesday,OTHER
7657680,666904,3,11,Sunday,OTHER
7672385,682112,5,22,Tuesday,OTHER
7642508,687040,3,10,Wednesday,OTHER
7687001,691394,2,6,Friday,OTHER
7630421,709771,3,11,Thursday,OTHER
7671753,680633,5,20,Friday,OTHER
7693238,677792,5,21,Monday,OTHER
7689846,680841,5,20,Tuesday,OTHER
7649474,677532,3,12,Tuesday,OTHER
7682081,673761,2,6,Thursday,OTHER
7675503,692433,4,15,Wednesday,OTHER
7667840,685350,5,21,Wednesday,OTHER
7668578,670266,1,3,Saturday,OTHER
7689534,683062,1,3,Thursday,OTHER
7681251,681901,1,52,Sunday,STREET CRIMES
